entrez_id,gene_symbol,logfc,nes,moa,combined,selected,null,drugs,drug_labels
79898,ZNF613,-2.0264730648,-2.77567566167,3.65657157123,-0.622887471171,True,True,0,
79921,TCEAL4,-0.68181046929,-2.74510473091,1.96337333969,0.552767567804,True,True,0,
10481,HOXB13,-0.864521065142,-2.58953454553,10.1529842538,-5.34816657788,True,False,0,
3664,IRF6,-1.51128457654,-2.5163633336,11.1327342963,-6.09269433696,True,False,0,
57630,SH3RF1,-3.15796276584,-2.42453027672,6.51829652875,-2.8947298774,True,False,0,
7466,WFS1,-1.95397406135,-2.42453027672,10.2276415729,-5.51763291189,True,False,0,
999,CDH1,-0.867247980083,-2.35053704609,16.7975253468,-10.2155633952,True,False,0,
395,ARHGAP6,-2.09401413961,-2.15771064796,8.801719017,-4.69802337201,True,False,0,
22931,RAB18,-0.386282113414,-1.98280159878,2.92767367564,-0.668125452904,True,True,0,
10856,RUVBL2,0.830736945219,1.99132094674,3.09287057649,3.59506630293,True,False,0,
6427,SRSF2,0.593622397844,2.00019427352,2.98907176994,3.52794385247,True,False,0,
83463,MXD3,1.01797085678,2.02663260029,4.4386011085,4.57161059744,True,False,0,
3146,HMGB1,0.738326291463,2.04993361784,6.38828667529,5.96672279042,True,False,0,
5036,PA2G4,0.700344235884,2.12877684811,10.0888087163,8.63913760234,True,False,0,
2956,MSH6,1.37734180036,2.19621284614,10.2276415729,8.78499170819,True,False,0,
51412,ACTL6B,1.61300398308,2.19621284614,8.45500199603,7.53154624277,True,False,0,
50861,STMN3,1.33388639436,2.19621284614,9.65475126845,8.37989708902,True,False,0,
10572,SIVA1,1.60074908417,2.26050381383,8.09139068091,7.31989479536,True,False,0,
7468,WHSC1,0.851475024213,2.30173714669,6.57432816585,6.27632597275,True,False,0,
3014,H2AFX,1.11955176813,2.30173714669,5.58780899978,5.57875158065,True,False,1,VE-821
11335,CBX3,0.710747146391,2.3231102898,5.53108687378,5.55375607514,True,False,0,
1019,CDK4,0.976915430157,2.35053704609,12.9618766162,10.8275115369,True,False,5,"Flavopiridol, JNJ-7706621, LEE011, Palbociclib, PHA-848125"
5111,PCNA,0.857406465584,2.42453027672,5.3978432208,5.53125334507,True,False,0,
29843,SENP1,0.880013040807,2.4611654502,3.61819000868,4.29875347022,True,False,0,
1164,CKS2,0.971424900627,2.57455700646,1.99814735806,3.23339026451,True,False,0,
11168,PSIP1,0.797613828729,2.6002630995,3.33270301374,4.19524057122,True,False,0,
3608,ILF2,0.93030180961,2.61725487,5.3787657132,5.65404037689,True,False,0,
1017,CDK2,1.11857534432,2.740021642,5.01721485381,5.48519452946,True,False,5,"AZD4547, Dinaciclib, Flavopiridol, JNJ-7706621, PHA-848125"
9656,MDC1,0.700827593936,2.75431496224,5.99104650095,6.18390439455,True,False,0,
701,BUB1B,1.09776034506,2.83162052232,6.02453326106,6.26224639546,True,False,0,
84515,MCM8,0.857390925101,2.86731480592,5.27700327611,5.75890254395,True,False,0,
